#  E (eV)   dosup(E)     dosdw(E)   Int dos(E)
  5.007  0.2804E-05  0.7996E-05  0.1080E-05
  5.107  0.2517E-04  0.6336E-04  0.9933E-05
  5.207  0.1725E-03  0.3832E-03  0.6551E-04
  5.307  0.9022E-03  0.1769E-02  0.3327E-03
  5.407  0.3602E-02  0.6235E-02  0.1316E-02
  5.507  0.1098E-01  0.1677E-01  0.4091E-02
  5.607  0.2554E-01  0.3444E-01  0.1009E-01
  5.707  0.4534E-01  0.5397E-01  0.2002E-01
  5.807  0.6146E-01  0.6456E-01  0.3262E-01
  5.907  0.6358E-01  0.5895E-01  0.4487E-01
  6.007  0.5020E-01  0.4109E-01  0.5400E-01
  6.107  0.3026E-01  0.2186E-01  0.5921E-01
  6.207  0.1392E-01  0.8876E-02  0.6149E-01
  6.307  0.4889E-02  0.2751E-02  0.6226E-01
  6.407  0.1311E-02  0.6527E-03  0.6246E-01
  6.507  0.2779E-03  0.1371E-03  0.6250E-01
  6.607  0.1278E-03  0.1751E-03  0.6253E-01
  6.707  0.5842E-03  0.9872E-03  0.6268E-01
  6.807  0.2979E-02  0.4664E-02  0.6345E-01
  6.907  0.1169E-01  0.1685E-01  0.6630E-01
  7.007  0.3502E-01  0.4646E-01  0.7445E-01
  7.107  0.8008E-01  0.9780E-01  0.9224E-01
  7.207  0.1398E+00  0.1571E+00  0.1219E+00
  7.307  0.1862E+00  0.1927E+00  0.1598E+00
  7.407  0.1894E+00  0.1804E+00  0.1968E+00
  7.507  0.1470E+00  0.1289E+00  0.2244E+00
  7.607  0.8712E-01  0.7028E-01  0.2401E+00
  7.707  0.3941E-01  0.2926E-01  0.2470E+00
  7.807  0.1367E-01  0.9321E-02  0.2493E+00
  7.907  0.4031E-02  0.2458E-02  0.2499E+00
  8.007  0.3110E-02  0.1639E-02  0.2504E+00
  8.107  0.9862E-02  0.5643E-02  0.2520E+00
  8.207  0.3039E-01  0.1949E-01  0.2570E+00
  8.307  0.7228E-01  0.5190E-01  0.2694E+00
  8.407  0.1314E+00  0.1055E+00  0.2931E+00
  8.507  0.1828E+00  0.1638E+00  0.3277E+00
  8.607  0.1965E+00  0.1940E+00  0.3668E+00
  8.707  0.1681E+00  0.1757E+00  0.4012E+00
  8.807  0.1259E+00  0.1229E+00  0.4260E+00
  8.907  0.1018E+00  0.7064E-01  0.4433E+00
  9.007  0.1070E+00  0.4619E-01  0.4586E+00
  9.107  0.1368E+00  0.5727E-01  0.4780E+00
  9.207  0.1856E+00  0.9909E-01  0.5065E+00
  9.307  0.2459E+00  0.1587E+00  0.5469E+00
  9.407  0.3098E+00  0.2131E+00  0.5992E+00
  9.507  0.3775E+00  0.2342E+00  0.6604E+00
  9.607  0.4534E+00  0.2092E+00  0.7266E+00
  9.707  0.5325E+00  0.1601E+00  0.7959E+00
  9.807  0.6062E+00  0.1374E+00  0.8703E+00
  9.907  0.6749E+00  0.1912E+00  0.9569E+00
 10.007  0.7416E+00  0.3376E+00  0.1065E+01
 10.107  0.8086E+00  0.5342E+00  0.1199E+01
 10.207  0.8831E+00  0.6876E+00  0.1356E+01
 10.307  0.9628E+00  0.7126E+00  0.1524E+01
 10.407  0.1020E+01  0.6086E+00  0.1687E+01
 10.507  0.1017E+01  0.4751E+00  0.1836E+01
 10.607  0.9412E+00  0.4389E+00  0.1974E+01
 10.707  0.8266E+00  0.5476E+00  0.2111E+01
 10.807  0.7512E+00  0.7227E+00  0.2259E+01
 10.907  0.7807E+00  0.8319E+00  0.2420E+01
 11.007  0.8975E+00  0.8274E+00  0.2592E+01
 11.107  0.1022E+01  0.7864E+00  0.2773E+01
 11.207  0.1111E+01  0.7965E+00  0.2964E+01
 11.307  0.1194E+01  0.8490E+00  0.3168E+01
 11.407  0.1300E+01  0.8782E+00  0.3386E+01
 11.507  0.1395E+01  0.8549E+00  0.3611E+01
 11.607  0.1425E+01  0.8011E+00  0.3833E+01
 11.707  0.1397E+01  0.7594E+00  0.4049E+01
 11.807  0.1376E+01  0.7822E+00  0.4265E+01
 11.907  0.1401E+01  0.9060E+00  0.4496E+01
 12.007  0.1433E+01  0.1103E+01  0.4749E+01
 12.107  0.1398E+01  0.1282E+01  0.5017E+01
 12.207  0.1283E+01  0.1356E+01  0.5281E+01
 12.307  0.1160E+01  0.1322E+01  0.5529E+01
 12.407  0.1116E+01  0.1264E+01  0.5767E+01
 12.507  0.1172E+01  0.1281E+01  0.6013E+01
 12.607  0.1282E+01  0.1380E+01  0.6279E+01
 12.707  0.1386E+01  0.1464E+01  0.6564E+01
 12.807  0.1429E+01  0.1427E+01  0.6849E+01
 12.907  0.1394E+01  0.1272E+01  0.7116E+01
 13.007  0.1338E+01  0.1098E+01  0.7360E+01
 13.107  0.1349E+01  0.1003E+01  0.7595E+01
 13.207  0.1448E+01  0.1012E+01  0.7841E+01
 13.307  0.1571E+01  0.1106E+01  0.8109E+01
 13.407  0.1642E+01  0.1256E+01  0.8399E+01
 13.507  0.1614E+01  0.1398E+01  0.8700E+01
 13.607  0.1455E+01  0.1423E+01  0.8987E+01
 13.707  0.1166E+01  0.1285E+01  0.9233E+01
 13.807  0.8081E+00  0.1092E+01  0.9423E+01
 13.907  0.4748E+00  0.1009E+01  0.9571E+01
 14.007  0.2330E+00  0.1095E+01  0.9704E+01
 14.107  0.9410E-01  0.1273E+01  0.9841E+01
 14.207  0.3080E-01  0.1441E+01  0.9988E+01
 14.307  0.8054E-02  0.1555E+01  0.1014E+02
 14.407  0.1667E-02  0.1581E+01  0.1030E+02
 14.507  0.3188E-03  0.1450E+01  0.1045E+02
 14.607  0.4358E-03  0.1130E+01  0.1056E+02
 14.707  0.2439E-02  0.7161E+00  0.1063E+02
 14.807  0.1131E-01  0.3594E+00  0.1067E+02
 14.907  0.4031E-01  0.1410E+00  0.1069E+02
 15.007  0.1108E+00  0.4300E-01  0.1070E+02
 15.107  0.2358E+00  0.1026E-01  0.1073E+02
 15.207  0.3913E+00  0.2712E-02  0.1077E+02
 15.307  0.5105E+00  0.5146E-02  0.1082E+02
 15.407  0.5284E+00  0.2125E-01  0.1087E+02
 15.507  0.4375E+00  0.7047E-01  0.1092E+02
 15.607  0.2912E+00  0.1788E+00  0.1097E+02
 15.707  0.1558E+00  0.3468E+00  0.1102E+02
 15.807  0.6669E-01  0.5138E+00  0.1108E+02
 15.907  0.2265E-01  0.5818E+00  0.1114E+02
 16.007  0.6092E-02  0.5034E+00  0.1119E+02
 16.107  0.1593E-02  0.3329E+00  0.1122E+02
 16.207  0.2071E-02  0.1682E+00  0.1124E+02
 16.307  0.7980E-02  0.6506E-01  0.1125E+02
 16.407  0.2586E-01  0.2009E-01  0.1125E+02
 16.507  0.6417E-01  0.8830E-02  0.1126E+02
 16.607  0.1215E+00  0.1716E-01  0.1127E+02
 16.707  0.1757E+00  0.4564E-01  0.1130E+02
